cluster,rank,ngram,lift,cluster_mass
404,5,action@OCRProcessScreen#android/Home/Account/Contract_Management/Edit_ID,327.914,0.2419
404,6,action@SelectListContractScreen#android/Home/contract_management/go_to_screen/ECOUNTER_HISTORY,292.185,0.2946
404,7,action@SelectListContractScreen#android/Home/contract_management/go_to_screen/ECOUNTER_HISTORY view@HistoryActivity,292.185,0.2946
404,8,view@SelectListContractScreen action@SelectListContractScreen#android/Home/contract_management/go_to_screen/ECOUNTER_INFOMATION_CHANGE,284.735,0.1669
405,1,action@android/Home#Home/Nav_home view@android/Account,234.633,42.5947
405,2,action@android/Home/Payment/Schedule_payment#android/Home/Payment/Schedule_payment/Choose_scheduled_payment_date <eos>,199.511,0.4263
405,3,action@SelectTypeOfInfoToChangeActivity#android/information_change/change_registered_information/change_registered_information_bottom_sheet <eos>,186.067,0.3607
405,4,action@android/ECOUNTER/HISTORY#android/Home/contract_management/go_to_screen/ECOUNTER_INFOMATION_CHANGE view@SelectTypeOfInfoToChangeActivity,171.763,0.2938
405,5,view@android/ECOUNTER/HISTORY action@android/ECOUNTER/HISTORY#android/Home/contract_management/go_to_screen/ECOUNTER_INFOMATION_CHANGE,139.339,0.2885
405,6,action@android/ECOUNTER/HISTORY#android/Home/contract_management/go_to_screen/ECOUNTER_INFOMATION_CHANGE,139.339,0.2885
405,7,action@android/Account#account/click_cosmic_message <eos>,112.854,0.4744
405,8,action@android/home/payment#adsview view@android/Home,104.286,0.5365
406,1,action@ReportDetailScreen#android/Home/Support/check_error/scan_result/suggest_fix_detail/,197.311,0.4853
406,2,view@ReportDetailScreen action@ReportDetailScreen#android/Home/Support/check_error/scan_result/suggest_fix_detail/,197.311,0.4853
406,3,action@ReportDetailScreen#android/Home/Home_pull_to_refresh view@android/home/payment,179.885,0.5105
406,4,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=2#btn_back action@hi.fpt.vn/web/shop/product-management-v920?cat_id=2#Home/action_wifi_guest,179.142,0.4272
406,5,action@android/Home#sa_full_msg view@android/home/payment,171.084,0.6216
406,6,action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/ultrafast/ultra-fast-purchase/home view@android/home/payment,168.617,1.6907
406,7,action@android/Home#Home/Nav_home view@android/home/payment,151.3,270.8131
406,8,action@hi.fpt.vn/dkol/product-detail?cat_id=3&ordertype=2#btn_back view@android/home/payment,149.903,0.3093
407,1,action@HOME#Home/Nav_payement view@android/Home,464.689,4.0339
407,2,action@<missing>#android/Home/Support/Support_History_View/Support_InProgress view@android/Home,459.897,0.9537
407,3,action@HOME#select_bill view@android/Home,283.238,0.566
407,4,action@<missing>#Home/payment/click_update_bill view@android/Home,256.45,0.553
407,5,action@<missing>#Home/Nav_payement view@android/Home,209.364,4.4091
407,6,action@<missing>#btn_back view@android/home/payment,172.853,10.3884
407,7,action@android/Home#Home/Nav_home view@android/home/payment,136.564,83.668
407,8,view@HOME action@HOME#Home/Nav_payement,125.986,3.4705
408,1,action@HOME#Home/action_wifi_guest view@android/Account,433.127,0.5787
408,2,action@android/Account#Home/Nav_profile view@android/Home,352.354,82.4924
408,3,action@android/Account#Home/Nav_profile view@HOME,256.003,0.7281
408,4,action@HOME#Home/action_wifi_5GHz view@android/Account,201.997,0.5683
408,5,action@android/Account#android/Home/Account/Services_Management view@android/Home,201.065,0.5592
408,6,action@android/Account#android/Home/account/edit_avatar view@android/Home,105.733,0.5262
408,7,view@android/Home view@android/Account,81.643,50.3721
408,8,action@android/Home#sa_mascot_close view@android/Account,68.017,1.1134
409,1,action@android/Account#Home/Nav_profile view@android/Home,362.694,162.2789
409,2,action@<missing>#android/Home/change_contract view@HOME,282.169,0.5942
409,3,action@<missing>#android/home/support_create/support_request_history view@android/Home,239.458,0.5368
409,4,action@<missing>#Home/Nav_payement view@android/Account,157.745,0.5879
409,5,<bos> action@<missing>#Support_create_quick_tv,157.596,0.6008
409,6,action@<missing>#Home/Nav_home view@android/Account,146.436,0.5791
409,7,action@android/Account#Home/Nav_profile view@HOME,128.684,0.6994
409,8,view@android/Home view@android/Account,103.274,121.772
410,1,action@android/Account#android/Home/Account/Introduction view@android/Home,999.53,1.9222
410,2,action@<missing>#Home/contract_management/go_to_screen/E_INVOICE/fgold_link,824.72,0.5313
410,3,<bos> action@<missing>#Home/contract_management/go_to_screen/E_INVOICE/fgold_link,824.72,0.5313
410,4,view@Home/Account/E-contract view@HOME,818.08,14.7478
410,5,view@EContractActivity view@HOME,785.091,2.3494
410,6,<bos> account/general,777.272,0.6805
410,7,action@<missing>#android/Home/Account/E-contract/Tab_EContract_Billing,769.198,0.7837
410,8,action@android/Account#android/Home/account/edit_avatar view@android/Home,762.169,6.4881
411,1,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_information_click <eos>,2240.317,1.0672
411,2,action@android/Home/payment_extend_detail#adsview <eos>,2034.978,1.9971
411,3,action@android/Home#popup action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,1320.254,42.2177
411,4,action@android/Home/payment_extend_detail#adsview,499.418,1.7427
411,5,view@android/Home/payment_extend_detail action@android/Home/payment_extend_detail#adsview,499.418,1.7427
411,6,action@android/Home#sa_full_msg view@android/Home/payment_extend_detail,467.294,3.6491
411,7,view@android/Home/payment_extend_detail <eos>,417.057,40.1772
411,8,action@android/Home#popup action@android/Home#sa_full_msg,341.898,3.4916
412,1,action@android/Home#popup action@android/Home#Home/{id}/smart_link/https://hi.fpt.vn/sm/report_detail,2283.345,114.9557
412,2,action@android/Home#popup action@android/Home#android/Home/TitleBlockHome/{id}/smart_link/https://hi.fpt.vn/sm/report_detail,1867.564,17.7529
412,3,view@ReportDetailScreen action@ReportDetailScreen#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=4,1135.194,0.7738
412,4,action@ReportDetailScreen#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=4 view@hi.fpt.vn/web/shop/product-management-v920?cat_id=4,1003.819,0.7672
412,5,action@ReportDetailScreen#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=4,1003.819,0.7672
412,6,action@ReportStatusScreen#android/Home/support_detail/urge_process action@ReportStatusScreen#Home/{id}/smart_link/https://hi.fpt.vn/sm/report_detail,690.313,0.4065
412,7,view@ReportStatusScreen action@ReportStatusScreen#android/Home/Header/go_to_screen/Profile,640.922,0.3537
412,8,action@ReportDetailScreen#android/Home/Header/go_to_screen/Notification action@ReportDetailScreen#btn_back,537.557,0.4938
413,1,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_popup_close <eos>,2519.283,4.8027
413,2,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_popup_close action@android/Home/payment_extend_detail#btn_back,1268.635,1.6344
413,3,action@android/Home/payment_extend_detail#btn_back <eos>,1158.352,31.4969
413,4,action@android/Home/payment_extend_detail#android/payment_extend_detail/payment_extend_detail_extend action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_popup_close,1063.653,5.6533
413,5,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_popup_close,1063.653,5.6533
413,6,action@android/Home#sa_msg_close action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,1000.456,1.0394
413,7,action@android/Home#popup action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,752.518,24.8919
413,8,action@android/Home#sa_mascot_close action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,751.026,7.229
414,1,action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=4 view@android/Account,488.504,1.1317
414,2,action@ECounterChangePaymentMethodActivity#android/change_payment_method_detail/change_payment_method_detail_back action@ECounterChangePaymentMethodActivity#android/information_change/change_registered_information,253.025,0.2821
414,3,action@OCRProcessScreen#android/Home/contract_management/go_to_screen/E_INVOICE view@EBillingScreen,245.483,0.3055
414,4,view@hi.fpt.vn/web/shop/search view@android/Home/Contract_List/Contract_Management,235.929,0.3141
414,5,action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/home view@hi.fpt.vn/web/shop/product-management-v920?cat_id=2,200.037,0.3293
414,6,view@OCRProcessScreen action@OCRProcessScreen#android/Home/contract_management/go_to_screen/E_INVOICE,199.952,0.3023
414,7,action@OCRProcessScreen#android/Home/contract_management/go_to_screen/E_INVOICE,199.952,0.3023
414,8,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=3#btn_back view@hi.fpt.vn/web/shop/product-management-v920?cat_id=2,176.065,0.2663
415,1,action@android/Home#popup action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,922.852,40.554
415,2,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_information_click view@android/Home/payment_extend_detail,388.531,35.5227
415,3,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_information_click,386.83,35.5012
415,4,action@android/Home/payment_extend_detail#android/payment_extend_detail/payment_extend_detail_extend action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_information_click,386.83,35.5012
415,5,view@android/Home/payment_extend_detail action@android/Home/payment_extend_detail#android/payment_extend_detail/payment_extend_detail_extend,377.782,35.3884
415,6,action@android/Home/payment_extend_detail#android/payment_extend_detail/payment_extend_detail_extend,367.768,35.2884
415,7,view@android/Home/payment_extend_detail <eos>,255.303,33.799
415,8,action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND view@android/Home/payment_extend_detail,203.696,32.7242
416,1,action@android/Home#popup action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND,922.852,101.0471
416,2,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_information_click view@android/Home/payment_extend_detail,388.531,88.5107
416,3,action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_information_click,386.83,88.457
416,4,action@android/Home/payment_extend_detail#android/payment_extend_detail/payment_extend_detail_extend action@android/Home/payment_extend_detail#android/payment_extend_detail/confirm_information_click,386.83,88.457
416,5,view@android/Home/payment_extend_detail action@android/Home/payment_extend_detail#android/payment_extend_detail/payment_extend_detail_extend,377.782,88.1762
416,6,action@android/Home/payment_extend_detail#android/payment_extend_detail/payment_extend_detail_extend,367.768,87.927
416,7,view@android/Home/payment_extend_detail <eos>,255.303,84.2159
416,8,action@android/Home#Home/{id}/go_to_screen/ECOUNTER_SERVICE_EXTEND view@android/Home/payment_extend_detail,203.696,81.5379
417,1,action@android/Home#popup action@android/Home#Home/{id}/go_to_screen/SURVEY_ALL_CURRENT,2062.096,110.0297
417,2,action@android/Home#popup action@android/Home#Home/SRConfirm/Completed,698.045,9.1528
417,3,view@HiWebViewScreen <eos>,433.738,94.1021
417,4,action@android/Home#Home/{id}/go_to_screen/SURVEY_ALL_CURRENT view@HiWebViewScreen,275.381,89.229
417,5,action@android/Home#Home/{id}/go_to_screen/SURVEY_ALL_CURRENT,274.069,89.1595
417,6,action@HiWebViewScreen#Home/SRConfirm/Completed <eos>,252.331,2.7282
417,7,view@HiWebViewScreen,228.003,86.9774
417,8,action@HiWebViewScreen#android/Home/Home_pull_to_refresh <eos>,183.082,4.8088
418,1,action@android/Home#sa_mascot_close action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/ultrafast/ultra-fast-purchase/home,2316.239,1.168
418,2,action@android/Home#sa_mascot_close <eos>,1829.478,90.8047
418,3,action@android/Home#sa_mascot_close action@android/Home#android/Home/Header/go_to_screen/ScanQR,941.252,0.5808
418,4,action@android/Home#sa_mascot_close action@android/Home#Home/{id}/go_to_screen/ACCEPTANCE_PDF,889.2,1.0734
418,5,action@android/Home#popup action@android/Home#sa_mascot_close,677.51,78.3605
418,6,action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/ultrafast/ultra-fast-purchase/home <eos>,406.334,1.0411
418,7,action@android/Home#sa_mascot_close action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION,264.943,0.555
418,8,action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION <eos>,249.12,0.5606
419,1,action@android/Home#popup action@android/Home#android/Home/Home_pull_to_refresh,1065.482,143.0238
419,2,action@android/Home#android/Home/Home_pull_to_refresh <eos>,654.454,134.2456
419,3,action@android/Home#android/Home/Home_pull_to_refresh action@android/Home#Home/{id}/go_to_screen/FAVORITE_FEATURE,653.705,0.507
419,4,action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION <eos>,153.061,0.5584
419,5,action@android/Home#android/Home/Home_pull_to_refresh action@android/Home#Home/null/{id}/do_action/CALL_API_GET_ACTION,151.13,0.5528
419,6,action@android/Home#android/Home/Home_pull_to_refresh action@android/Home#Home/{id}/do_action/CALL_API_GET_ACTION,103.985,0.5513
419,7,action@android/Home#android/Home/Home_pull_to_refresh,98.464,93.8299
419,8,action@android/Home#Home/{id}/do_action/CALL_API_GET_ACTION <eos>,87.65,0.553
420,1,action@loyalty_home_view#btn_back view@android/login,4073.941,33.8978
420,2,action@loyalty_home_view#Home/Nav_home view@android/login,3425.502,2.4994
420,3,action@loyalty_home_view#Home/Nav_support view@android/login,3009.561,2.5288
420,4,action@loyalty_home_view#android/Home/Home_pull_to_refresh view@android/login,2634.543,1.3474
420,5,action@android/login#home_guest/guest_login view@HiWebViewActivitySingleTop,2326.261,1.1199
420,6,view@loyalty_home_view action@loyalty_home_view#Home/Nav_profile,1296.723,0.4538
420,7,action@loylaty_rules_view#loylaty_rules_click_membership action@loylaty_rules_view#btn_back,951.653,0.3904
420,8,action@HiWebViewActivitySingleTop#home_guest/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/loyalty-webview/non-login/home view@loyalty_home_view,701.405,0.4254
421,1,view@hi.fpt.vn/web/shop/product-management-v920?cat_id=3&categoryid=48 <eos>,1769.114,31.9556
421,2,action@android/Home#popup action@android/Home#Home/{id}/{id}/smart_link/https://hi.fpt.vn/sm/about-gtbb,1582.634,3.327
421,3,action@android/Home#popup action@android/Home#android/Home/Click_call_event_tracking,1493.453,14.3809
421,4,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=3&categoryid=48#web/ProductItem/{id} <eos>,1306.245,4.1319
421,5,action@android/Home#popup action@android/Home#android/Home/Header/go_to_screen/ScanQR,1147.477,50.4555
421,6,action@android/Home#popup action@android/Home#Home/{id}/go_to_screen/FAVORITE_FEATURE,1009.914,2.5447
421,7,view@hi.fpt.vn/dkol/product-detail?cat_id=3&ordertype=1 <eos>,1008.035,8.0309
421,8,view@hi.fpt.vn/web/shop/product-management-v920?cat_id=3&categoryid=48 action@hi.fpt.vn/web/shop/product-management-v920?cat_id=3&categoryid=48#web/ProductItem/{id},969.697,9.526
422,1,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=3&categoryid=48#btn_back <eos>,1311.21,28.3204
422,2,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=3&categoryid=48#Home/{id}/go_to_screen/SURVEY_ALL_CURRENT view@HiWebViewScreen,1018.828,1.701
422,3,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=3&categoryid=48#Home/{id}/go_to_screen/SURVEY_ALL_CURRENT,1018.828,1.701
422,4,action@android/Home#popup action@android/Home#Home/{id}/go_to_screen/ACCEPTANCE_PDF,809.672,28.4598
422,5,action@android/Home#popup action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=1,804.225,7.219
422,6,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=3&categoryid=48#web/LocationButton action@hi.fpt.vn/web/shop/product-management-v920?cat_id=3&categoryid=48#btn_back,770.403,1.3476
422,7,action@android/Home#popup action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=4,703.126,22.1189
422,8,action@hi.fpt.vn/web/shop/product-management-v920?cat_id=1#btn_back action@hi.fpt.vn/web/shop/product-management-v920?cat_id=1#banner,612.857,0.7177
423,1,action@ReportStatusScreen#android/Home/support_detail/urge_process action@ReportStatusScreen#android/Home/Support/Support_History_View/Support_History/Support_Information/Support_Detail/Support__Detail_Status,552.977,0.2408
423,2,action@ChooseTimeReportActivity#btn_confirm view@android/home/support_create,497.614,0.2934
423,3,action@ErrorCheckingDrSmartScreen#Support_confirm_input_contact_name action@ErrorCheckingDrSmartScreen#android/Home/Support/check_error/scan_result/set_appointment/change_appointment,448.417,0.3025
423,4,action@Home/Support/FAQ_Open/FAQ#android/QA65,430.274,0.4051
423,5,action@ReportDetailScreen#Support_create_quick_move_device action@ReportDetailScreen#home/support_create/support_send,423.733,0.2312
423,6,action@android/Home#android/home/popup_remind/skip_remind view@android/home/support_create,412.384,45.1712
423,7,view@PaylocatorActivity action@PaylocatorActivity#Home/Nav_support,340.291,0.2442
423,8,action@ReportDetailScreen#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=2,311.223,0.1717
424,1,action@HiWebViewActivitySingleTop#adsview view@android/home/payment,663.944,0.4815
424,2,action@android/PAYMENT/LISTAUTOPAY#manage_autopay/fixed_day action@android/PAYMENT/LISTAUTOPAY#manage_autopay/cta_cancel_update,504.002,0.3312
424,3,action@android/home/payment#adsview action@android/home/payment#home/payment/choose_behalf,423.872,0.7828
424,4,action@<missing>#android/login/login_with_vneid view@android/Home,248.844,1.6669
424,5,action@android/home/payment#popup <eos>,247.229,1.4354
424,6,action@android/home/qr_payment#android/home/qr_payment/share_qr action@android/home/qr_payment#android/home/qr_payment/save_qr,234.448,0.3634
424,7,view@android/PAYMENT/LISTAUTOPAY action@android/PAYMENT/LISTAUTOPAY#adsview,226.474,0.6465
424,8,action@android/home/payment#adsview action@android/home/payment#home/payment/choose_autopay,201.114,0.7037
425,1,action@ErrorCheckingDrSmartScreen#android/Home/Support/check_error/scan_result/need_staff_result action@ErrorCheckingDrSmartScreen#android/Home/Support/check_error/scan_result/suggest_fix_result,210.141,0.8581
425,2,action@android/home/support_create#Support_create_upload_media action@android/home/support_create#Support_confirm_close_confirm,194.572,0.6896
425,3,action@ChooseTimeReportActivity#adsview action@ChooseTimeReportActivity#home/support_create/support_send,165.238,0.252
425,4,action@android/home/support_create#Home/Nav_support action@android/home/support_create#Support_create_quick_move_device,162.286,0.8141
425,5,action@android/Home#invite_update_accept action@android/Home#Home/{id}/go_to_screen/REPORT_HOME,150.363,2.009
425,6,action@ReportStatusScreen#android/Home/Support/Suport_History_View/Support_History/Support_Status_Detail_Complete <eos>,147.237,0.3938
425,7,action@android/Home#invite_update_accept view@android/home/support_create,143.694,1.5098
425,8,action@android/home/speedtest#android/home/speedtest/check_speed action@android/home/speedtest#android/home/speedtest/change_location,142.223,0.2567
426,1,action@ErrorCheckingDrSmartScreen#Support_create_describe_request action@ErrorCheckingDrSmartScreen#home/support_create/support_send,559.842,0.4925
426,2,action@ChooseTimeReportActivity#adsview action@ChooseTimeReportActivity#home/support_create/support_send,550.134,0.1797
426,3,action@ErrorCheckingDrSmartScreen#Support_create_quick_internet action@ErrorCheckingDrSmartScreen#Support_create_describe_request,530.491,0.2592
426,4,action@android/Home#sa_full_msg action@android/Home#Home/{id}/go_to_screen/REPORT_HOME,477.31,1.2959
426,5,action@ErrorCheckingDrSmartScreen#Support_confirm_input_contact_name action@ErrorCheckingDrSmartScreen#android/Home/Support/check_error/scan_result/accept_reboot,465.517,0.2778
426,6,action@android/home/support_create#Home/smart_link/https://hi.fpt.vn/sm/report_detail <eos>,413.72,0.3167
426,7,action@android/Home#android/home/popup_remind/skip_remind action@android/Home#Home/{id}/go_to_screen/REPORT_HOME,392.687,29.923
426,8,action@ErrorCheckingDrSmartScreen#Support_create_describe_request,376.797,0.4806
427,1,<bos> action@<missing>#Home/Account/Payment_Notification_Channel,1070.391,0.4676
427,2,action@<missing>#Home/Account/Payment_Notification_Channel view@android/Home/Payment/Notification_channel,978.475,0.4636
427,3,action@<missing>#Home/Account/Payment_Notification_Channel,886.605,0.46
427,4,action@android/Account#android/Home/Account/Promotion_code view@android/home/payment,576.251,0.5914
427,5,action@android/home/payment#Home/payment/select_bill/block_prepay view@android/Account,555.636,0.5615
427,6,view@HOME action@HOME#android/Home/Account/Services_Management,450.246,0.4833
427,7,action@HOME#android/Home/Account/Services_Management,435.341,0.4833
427,8,action@android/Account#android/Home/account/edit_avatar view@android/home/payment,309.627,0.5412
428,1,action@android/Home#invite_update_accept view@android/Account,480.442,1.2256
428,2,action@android/Account#Home/Nav_profile view@android/home/payment,405.051,143.342
428,3,action@android/Home#/home/support_create/support_chat,305.313,0.7154
428,4,action@android/Account#adsview view@android/home/payment,194.547,2.1057
428,5,action@android/Home#Home/SRConfirm/Completed view@android/Account,193.92,0.591
428,6,action@web/MY_CSAT_LIST#btn_back view@android/home/payment,162.626,0.4524
428,7,action@android/Home#invite_update_cancel view@android/Account,101.583,2.2118
428,8,view@android/Home view@android/Account,80.187,100.9286
429,1,action@hi.fpt.vn/web/game/hifpt-fromwhere/list#btn_back view@android/home/payment,1246.882,1.3507
429,2,view@PolicyActivity view@android/home/payment,819.478,2.2966
429,3,action@android/Account#android/home/popup_remind/skip_remind view@android/home/payment,601.526,0.522
429,4,action@android/Account#android/Home/contract_management/go_to_screen/ECOUNTER_INFOMATION_CHANGE view@SelectTypeOfInfoToChangeActivity,530.049,0.5089
429,5,action@<missing>#account_infor/date_birth_block action@<missing>#account_infor/upgrade_btn,526.668,0.4314
429,6,action@android/Account#android/Home/Account/Promotion_code view@android/home/payment,515.523,1.1231
429,7,view@android/Account action@android/Account#android/Home/contract_management/go_to_screen/ECOUNTER_INFOMATION_CHANGE,500.715,0.5053
429,8,action@android/Account#android/Home/contract_management/go_to_screen/ECOUNTER_INFOMATION_CHANGE,500.715,0.5053
430,1,action@android/home/payment#android/Home/Home_pull_to_refresh view@android/Home,224.563,0.4799
430,2,action@android/Home#Home/Nav_home action@android/Home#android/Home/change_contract,213.906,49.3702
430,3,action@android/Home/Contract_List#android/Home/Home_pull_to_refresh action@android/Home/Contract_List#choose_contract,91.595,0.4409
430,4,action@android/home/payment#adsview view@android/Home,72.328,0.4801
430,5,action@android/home/payment#Home/Nav_payement view@android/Home,61.575,42.9287
430,6,view@android/Home/Contract_List action@android/Home/Contract_List#android/Home/Home_pull_to_refresh,48.419,0.4134
430,7,action@android/Home/Contract_List#android/Home/Home_pull_to_refresh,47.634,0.4126
430,8,home/general,31.317,0.4964
431,1,action@internet_fprotect_screen/management_device/management_device_screen#android/Home/Home_pull_to_refresh <eos>,1531.507,1.1522
431,2,action@internet_fprotect_screen/management_device/management_device_screen#adsview <eos>,661.327,63.9626
431,3,action@internet_fprotect_screen/management_device/management_device_screen#android/Home/Home_pull_to_refresh,429.49,1.0336
431,4,view@internet_fprotect_screen/management_device/management_device_screen action@internet_fprotect_screen/management_device/management_device_screen#android/Home/Home_pull_to_refresh,429.49,1.0336
431,5,action@internet_fprotect_screen/management_device/management_device_screen#management_device/manage_reload_btn action@internet_fprotect_screen/management_device/management_device_screen#internet_fprotect_screen/management_device/management_device_screen/devices_searching,233.616,0.5468
431,6,action@internet_fprotect_screen/management_device/management_device_screen#internet_fprotect_screen/management_device/management_device_screen/devices_searching <eos>,224.526,2.742
431,7,action@internet_fprotect_screen/management_device/management_device_screen#management_device/manage_reload_btn <eos>,186.556,29.3607
431,8,view@internet_fprotect_screen/management_device/management_device_screen action@internet_fprotect_screen/management_device/management_device_screen#adsview,163.488,50.2187
432,1,action@android/NOTIFICATION/DETAIL#android/Home/Header/go_to_screen/Notification view@NotificationData,1132.805,82.8343
432,2,action@android/NOTIFICATION/DETAIL#Home/do_action/MODEM_TURN_ON_OFF action@android/NOTIFICATION/DETAIL#android/Home/Header/go_to_screen/Notification,716.409,1.4488
432,3,view@android/home/notification/setting_noti action@android/home/notification/setting_noti#noti_guest/click_toggle_receive_service_noti_off,710.953,0.3108
432,4,action@android/home/notification/setting_noti#noti_guest/click_toggle_receive_promo_noti_off action@android/home/notification/setting_noti#noti_guest/click_toggle_receive_service_noti_off,706.89,0.5358
432,5,action@android/NOTIFICATION/DETAIL#Home/do_action/MODEM_RESET action@android/NOTIFICATION/DETAIL#android/Home/Header/go_to_screen/Notification,648.4,0.8609
432,6,action@android/NOTIFICATION/DETAIL#Home/action_wifi_2GHz action@android/NOTIFICATION/DETAIL#android/Home/Header/go_to_screen/Notification,573.817,0.4957
432,7,action@android/home/notification/setting_noti#noti_guest/click_toggle_receive_service_noti_off,505.832,0.7873
432,8,action@android/NOTIFICATION/DETAIL#Home/{id}/{id}/do_action/CALL_API_GET_ACTION action@android/NOTIFICATION/DETAIL#android/Home/Header/go_to_screen/Notification,476.736,0.5134
433,1,action@HOME#android/Home/Account/Services_Management view@android/Home,488.702,0.4805
433,2,view@web/CSAT_RATING view@android/Home,326.015,0.5209
433,3,view@android/home/payment view@web/CSAT_RATING,246.825,0.5066
433,4,view@HOME action@HOME#android/Home/Account/Services_Management,190.867,0.4494
433,5,action@HOME#android/Home/Account/Services_Management,184.549,0.4494
433,6,action@HOME#/home/support_create/support_chat view@android/Home,171.986,0.4009
433,7,action@android/Home/Payment/payment_history#android/Home/Payment/payment_history/history_search <eos>,170.802,0.4287
433,8,action@android/home/payment#Home/payment/update_prepaid_package view@android/Home,154.383,0.8831
434,1,action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/home view@android/Account,663.031,0.4876
434,2,action@android/Account#android/Home/Account/Introduction view@android/Home,518.023,0.5233
434,3,view@android/Account view@android/Home,91.754,25.178
434,4,action@hi.fpt.vn/web/shop/home#web/Header/BackButton view@android/home/payment,77.43,0.3722
434,5,action@android/Home/Payment/payment_history#btn_back <eos>,70.464,17.4048
434,6,action@android/Home#Home/Nav_home view@android/home/payment,67.607,26.1815
434,7,action@android/Home#Home/Nav_home action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/home,57.283,0.6925
434,8,view@android/Home/Payment/payment_history action@android/Home/Payment/payment_history#btn_back,54.615,16.6288
435,1,action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=2&categoryid=22 view@android/home/payment,588.416,0.4879
435,2,action@android/Home#android/Home/Home_pull_to_refresh action@android/Home#Home/{id}/{id}/open_url_in_app_with_access_token/https://hi.fpt.vn/web/shop/product-management-v920?cat_id=2&categoryid=22,199.253,0.4467
435,3,action@android/Home/Payment/payment_history#android/home/home_service_management/internet_service_tab/device_control/click_search_device action@android/Home/Payment/payment_history#btn_back,190.892,0.9337
435,4,action@android/Home/Payment/payment_history#android/Home/Payment/payment_history/history_search action@android/Home/Payment/payment_history#btn_back,163.253,0.4126
435,5,action@hi.fpt.vn/dkol/product-detail?ordertype=1#btn_back view@android/home/payment,162.237,0.2827
435,6,action@android/Home/Payment/payment_history#btn_back <eos>,156.294,68.9833
435,7,action@android/Home/Payment/payment_history#android/Home/Payment/payment_history/history_filter action@android/Home/Payment/payment_history#btn_back,124.519,1.7433
435,8,action@android/Home/Payment/payment_history#adsview action@android/Home/Payment/payment_history#btn_back,119.314,1.3362
436,1,action@android/Home/Payment/payment_history#android/Home/Payment/payment_history/history_filter <eos>,122.839,1.4638
436,2,action@android/Home#Home/Nav_home view@android/home/payment,112.837,101.1354
